System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
Total Portfolio Value A,2025/03/10,,,91.10680005,,,-1.200482836,,,,,-12.53237315
Total Portfolio Value A,2025/03/11,,,92.05906044,,,1.045213298,,,,,-11.61814988
Total Portfolio Value A,2025/03/12,,,91.67815888,,,-0.413757825,,,,,-11.9838367
Total Portfolio Value A,2025/03/13,,,91.29427539,,,-0.418729494,,,,,-12.35238634
Total Portfolio Value A,2025/03/17,,,91.0664791,,,-0.249518702,,,,,-12.57108353
Total Portfolio Value A,2025/03/18,,,92.51841054,,,1.594364319,,,,,-11.17714808
Total Portfolio Value A,2025/03/19,,,93.52720859,,,1.090375459,,,,,-10.2086455
Total Portfolio Value A,2025/03/20,,,94.77281718,,,1.33181414,,,,,-9.012791543
Total Portfolio Value A,2025/03/21,,,95.81907111,,,1.103959937,,,,,-8.008329214
Total Portfolio Value A,2025/03/24,,,97.92489218,,,2.197705573,,,,,-5.986623138
Total Portfolio Value A,2025/03/25,,,96.96350064,,,-0.981764204,,,,,-6.909612819
Total Portfolio Value A,2025/03/26,,,96.31155121,,,-0.672365813,,,,,-7.535520757
Total Portfolio Value A,2025/03/27,,,96.54526309,,,0.242662355,,,,,-7.311144274
Total Portfolio Value A,2025/03/28,,,96.09026979,,,-0.471274599,,,,,-7.747963307
Total Portfolio Value A,2025/04/01,,,95.64244483,,,-0.466046099,,,,,-8.177900326
Total Portfolio Value A,2025/04/02,,,95.06260917,,,-0.606253492,,,,,-8.734575011
Total Portfolio Value A,2025/04/03,,,94.3183818,,,-0.782881276,,,,,-9.449074935
Total Portfolio Value A,2025/04/04,,,94.28545498,,,-0.034910293,,,,,-9.480686528
Total Portfolio Value A,2025/04/07,,,97.45027564,,,3.35663721,,,,,-6.44228157
Total Portfolio Value A,2025/04/08,,,98.29822139,,,0.87013171,,,,,-5.628206195
Total Portfolio Value A,2025/04/09,,,98.28639089,,,-0.012035318,,,,,-5.63956414
Total Portfolio Value A,2025/04/11,,,99.60236862,,,1.338921607,,,,,-4.376151876
Total Portfolio Value A,2025/04/15,,,99.1592457,,,-0.444891945,,,,,-4.801574673
Total Portfolio Value A,2025/04/16,,,99.60930461,,,0.453874879,,,,,-4.369492935
Total Portfolio Value A,2025/04/17,,,101.1462317,,,1.542955356,,,,,-2.893956904
Total Portfolio Value A,2025/04/21,,,102.1530399,,,0.995398624,,,,,-1.927364688
Total Portfolio Value A,2025/04/22,,,102.1869553,,,0.033200566,,,,,-1.894804018
Total Portfolio Value A,2025/04/23,,,102.9537118,,,0.750346803,,,,,-1.158674816
Total Portfolio Value A,2025/04/24,,,102.7211019,,,-0.225936449,,,,,-1.381993397
Total Portfolio Value A,2025/04/25,,,101.5851999,,,-1.10581175,,,,,-2.472522901
Total Portfolio Value A,2025/04/28,,,102.9499566,,,1.34346019,,,,,-1.162280072
Total Portfolio Value A,2025/04/29,,,103.3735801,,,0.411484899,,,,,-0.75557778
Total Portfolio Value A,2025/04/30,,,102.9068044,,,-0.451542576,,,,,-1.203708601
Total Portfolio Value A,2025/05/02,,,102.900697,,,-0.005934853,,,,,-1.209572016
Total Portfolio Value A,2025/05/05,,,103.2897768,,,0.378111871,,,,,-0.83603368
Total Portfolio Value A,2025/05/06,,,102.3320908,,,-0.927183686,,,,,-1.755465799
Total Portfolio Value A,2025/05/07,,,101.9851033,,,-0.339079865,,,,,-2.088593233
Total Portfolio Value A,2025/05/08,,,101.9916265,,,0.006396223,,,,,-2.082330601
Total Portfolio Value A,2025/05/09,,,100.8133436,,,-1.155274173,,,,,-3.213548147
Total Portfolio Value A,2025/05/12,,,102.2815155,,,1.45632703,,,,,-1.804020887
Total Portfolio Value A,2025/05/13,,,102.0106612,,,-0.264812637,,,,,-2.064056249
Total Portfolio Value A,2025/05/14,,,102.2122823,,,0.197647074,,,,,-1.870488722
Total Portfolio Value A,2025/05/15,,,103.6525121,,,1.409057559,,,,,-0.487787426
Total Portfolio Value A,2025/05/16,,,103.8892682,,,0.228413259,,,,,-0.260488338
Total Portfolio Value A,2025/05/19,,,103.7531675,,,-0.131005515,,,,,-0.391152599
Total Portfolio Value A,2025/05/20,,,103.2897438,,,-0.446659889,,,,,-0.836065367
Total Portfolio Value A,2025/05/21,,,103.2148931,,,-0.072466708,,,,,-0.907926205
Total Portfolio Value A,2025/05/22,,,102.202132,,,-0.981216038,,,,,-1.880233526
Total Portfolio Value A,2025/05/23,,,102.3384446,,,0.133375473,,,,,-1.749365823
Total Portfolio Value A,2025/05/26,,,103.0960165,,,0.740261329,,,,,-1.022054373
Total Portfolio Value A,2025/05/27,,,102.4494074,,,-0.627191165,,,,,-1.642835303
Total Portfolio Value A,2025/05/28,,,102.1040119,,,-0.337137653,,,,,-1.97443434
Total Portfolio Value A,2025/05/29,,,102.1626246,,,0.057404872,,,,,-1.918162889
Total Portfolio Value A,2025/05/30,,,102.2765266,,,0.111490869,,,,,-1.808810597
