System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QYE SLONG,2025-12-18,-83293.58,0.00,99.61,99.93,-83293.58,-0.33,25383454.56,0.00,25383454.56,0.00,-0.46
QYE PSAR,2025-12-18,12675749.21,-87816.42,100.42,100.45,-15978.10,-0.03,50766909.22,12779543.79,50766909.22,87816.49,-0.04
QYE LONG,2025-12-18,-146311.34,0.00,100.14,100.43,-146311.34,-0.29,50766909.12,0.00,50766909.12,0.00,-0.33
QYE Total Portfolio Value,2025-12-18,12526683.84,-85472.50,100.50,100.83,-165043.46,-0.33,50766909.00,12777199.87,50766909.00,85472.57,-0.38
QYE Zerodha Total Portfolio,2025-12-18,50648381.64,0.00,100.71,101.03,-160963.42,-0.32,50809345.06,50809345.06,50715712.41,93632.65,-0.32
QYE NPSAR1,2025-12-19,346967.28,-1953.75,101.12,101.52,-5580.70,-0.40,1410191.93,354501.73,1410191.93,1953.75,-0.39
QYE NPSAR10,2025-12-19,788666.40,10089.66,99.84,99.98,-4566.55,-0.14,3172931.81,783143.29,3172931.81,-10089.66,-0.46
QYE NPSAR11,2025-12-19,788666.40,13032.80,100.46,100.60,-4566.55,-0.14,3172931.81,780200.15,3172931.81,-13032.80,-0.70
QYE NPSAR12,2025-12-19,788666.40,-1831.98,101.11,101.26,-4566.55,-0.14,3172931.81,795064.93,3172931.81,1831.98,-0.15
QYE NPSAR13,2025-12-19,790050.54,10823.95,99.70,99.80,-3182.41,-0.10,3172931.81,782409.00,3172931.81,-10823.95,-1.22
QYE NPSAR2,2025-12-19,346966.61,-2066.25,98.22,98.61,-5581.37,-0.40,1410191.93,354614.23,1410191.93,2066.25,-1.84
QYE NPSAR3,2025-12-19,346967.28,-1953.75,98.48,98.87,-5580.70,-0.40,1410191.93,354501.73,1410191.93,1953.75,-1.75
QYE NPSAR4,2025-12-19,347390.82,-1953.75,99.64,100.01,-5157.16,-0.37,1410191.93,354501.73,1410191.93,1953.75,-0.69
QYE NPSAR5,2025-12-19,349533.52,-1953.75,99.98,100.19,-3014.46,-0.21,1410191.93,354501.73,1410191.93,1953.75,-0.63
QYE NPSAR6,2025-12-19,350684.23,-1953.75,100.50,100.63,-1863.75,-0.13,1410191.93,354501.73,1410191.93,1953.75,-0.26
QYE NPSAR7,2025-12-19,351681.30,-1953.75,101.05,101.11,-866.68,-0.06,1410191.93,354501.73,1410191.93,1953.75,-0.06
QYE NPSAR8,2025-12-19,351681.30,-1953.75,101.54,101.60,-866.68,-0.06,1410191.93,354501.73,1410191.93,1953.75,-0.06
QYE NPSAR9,2025-12-19,358941.73,5075.94,101.50,101.04,6393.75,0.45,1410191.93,347472.04,1410191.93,-5075.94,0.00
QYE SPSAR1,2025-12-19,343515.98,-2469.54,100.56,101.21,-9032.00,-0.64,1410191.93,355017.52,1410191.93,2469.54,-0.64
QYE SPSAR10,2025-12-19,784445.91,21163.98,99.68,99.96,-8787.04,-0.28,3172931.81,772068.97,3172931.81,-21163.98,-0.97
QYE SPSAR11,2025-12-19,784445.91,5187.45,100.22,100.50,-8787.04,-0.28,3172931.81,788045.50,3172931.81,-5187.45,-0.47
QYE SPSAR12,2025-12-19,783838.98,9336.73,100.28,100.58,-9393.97,-0.30,3172931.81,783896.22,3172931.81,-9336.73,-0.92
QYE SPSAR13,2025-12-19,771241.04,5058.80,98.65,99.34,-21991.91,-0.69,3172931.81,788174.15,3172931.81,-5058.80,-1.82
QYE SPSAR2,2025-12-19,343515.98,-8301.40,98.61,99.25,-9032.00,-0.64,1410191.93,360849.38,1410191.93,8301.40,-1.45
QYE SPSAR3,2025-12-19,338269.96,-6646.53,98.87,99.88,-14278.02,-1.01,1410191.93,359194.51,1410191.93,6646.53,-1.31
QYE SPSAR4,2025-12-19,339656.55,-6646.53,99.62,100.54,-12891.43,-0.91,1410191.93,359194.51,1410191.93,6646.53,-0.92
QYE SPSAR5,2025-12-19,339656.55,-4991.29,99.70,100.62,-12891.43,-0.91,1410191.93,357539.27,1410191.93,4991.29,-0.91
QYE SPSAR6,2025-12-19,345338.27,-4991.29,100.34,100.86,-7209.71,-0.51,1410191.93,357539.27,1410191.93,4991.29,-0.52
QYE SPSAR7,2025-12-19,345338.27,-4991.29,100.95,101.47,-7209.71,-0.51,1410191.93,357539.27,1410191.93,4991.29,-0.51
QYE SPSAR8,2025-12-19,348154.46,-3589.43,101.27,101.59,-4393.52,-0.31,1410191.93,356137.41,1410191.93,3589.43,-0.31
QYE SPSAR9,2025-12-19,348154.46,-3589.43,101.38,101.70,-4393.52,-0.31,1410191.93,356137.41,1410191.93,3589.43,-0.31
QYE NLONG1,2025-12-19,6739.62,7151.99,101.10,100.46,6739.62,0.64,1057643.94,-7151.99,1057643.94,-7151.99,-0.04
QYE NLONG10,2025-12-19,0.00,0.00,101.16,101.16,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG11,2025-12-19,5376.63,7151.99,101.16,100.65,5376.63,0.51,1057643.94,-7151.99,1057643.94,-7151.99,-0.18
QYE NLONG12,2025-12-19,0.00,0.00,101.26,101.26,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG13,2025-12-19,-5877.15,1794.30,100.20,100.76,-5877.15,-0.56,1057643.94,-1794.30,1057643.94,-1794.30,-0.73
QYE NLONG14,2025-12-19,-6026.12,1794.30,100.25,100.82,-6026.12,-0.57,1057643.94,-1794.30,1057643.94,-1794.30,-0.78
QYE NLONG15,2025-12-19,-5474.96,1794.30,100.11,100.63,-5474.96,-0.52,1057643.94,-1794.30,1057643.94,-1794.30,-0.75
QYE NLONG16,2025-12-19,-5832.47,1794.30,100.33,100.89,-5832.47,-0.55,1057643.94,-1794.30,1057643.94,-1794.30,-0.75
QYE NLONG17,2025-12-19,-5877.15,1794.30,100.20,100.76,-5877.15,-0.56,1057643.94,-1794.30,1057643.94,-1794.30,-0.73
QYE NLONG18,2025-12-19,-6026.12,1794.30,100.25,100.82,-6026.12,-0.57,1057643.94,-1794.30,1057643.94,-1794.30,-0.78
QYE NLONG19,2025-12-19,-5474.96,1794.30,99.85,100.37,-5474.96,-0.52,1057643.94,-1794.30,1057643.94,-1794.30,-0.76
QYE NLONG2,2025-12-19,0.00,0.00,100.91,100.91,0.00,0.00,1057643.94,0.00,1057643.94,0.00,0.00
QYE NLONG20,2025-12-19,-5832.47,1794.30,99.88,100.43,-5832.47,-0.55,1057643.94,-1794.30,1057643.94,-1794.30,-0.75
QYE NLONG21,2025-12-19,-5877.15,1794.30,99.57,100.13,-5877.15,-0.56,1057643.94,-1794.30,1057643.94,-1794.30,-0.74
QYE NLONG22,2025-12-19,-6026.12,1794.30,99.44,100.01,-6026.12,-0.57,1057643.94,-1794.30,1057643.94,-1794.30,-0.79
QYE NLONG23,2025-12-19,-5474.96,1081.41,99.60,100.12,-5474.96,-0.52,1057643.94,-1081.41,1057643.94,-1081.41,-0.68
