System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
NPSAR3,2026-02-01,163628.83,2108.63,100.69,100.69,-63.47,0.00,1309538.43,161583.67,1319631.37,-3370.25,-0.26
NPSAR4,2026-02-01,162002.32,2482.38,100.65,100.78,-1689.98,-0.13,1309538.43,161209.92,1319631.37,-3744.00,-0.42
NPSAR5,2026-02-01,163628.83,2108.63,100.89,100.89,-63.47,0.00,1309538.43,161583.67,1319631.37,-3370.25,-0.26
NPSAR6,2026-02-01,171535.67,2108.63,101.44,100.84,7843.37,0.60,1309538.43,161583.67,1319631.37,-3370.25,0.00
NPSAR7,2026-02-01,173071.93,2108.63,100.83,100.11,9379.63,0.72,1309538.43,161583.67,1319631.37,-3370.25,0.00
NPSAR8,2026-02-01,164866.12,9384.58,99.09,99.00,1173.82,0.09,1309538.43,154307.72,1319631.37,-10646.20,-1.65
NPSAR9,2026-02-01,164866.12,9384.58,99.35,99.26,1173.82,0.09,1309538.43,154307.72,1319631.37,-10646.20,-1.36
SPSAR1,2026-02-01,171528.30,-4646.62,101.69,101.09,7836.00,0.60,1309538.43,168338.92,1319631.37,3385.00,0.00
SPSAR10,2026-02-01,384394.83,12378.58,100.88,100.33,16087.15,0.55,2946461.44,355929.10,2969170.56,-15217.22,-0.06
SPSAR11,2026-02-01,387684.18,11256.85,99.75,99.10,19376.50,0.66,2946461.44,357050.83,2969170.56,-14095.49,-0.64
SPSAR12,2026-02-01,359020.55,5953.45,99.50,99.81,-9287.13,-0.32,2946461.44,362354.23,2969170.56,-8792.09,-1.12
SPSAR13,2026-02-01,358650.61,17637.81,98.58,98.90,-9657.07,-0.33,2946461.44,350669.87,2969170.56,-20476.45,-2.44
SPSAR2,2026-02-01,145207.80,1088.38,99.40,100.82,-18484.50,-1.41,1309538.43,162603.92,1319631.37,-2350.00,-1.58
SPSAR3,2026-02-01,155614.34,1088.38,100.68,101.30,-8077.96,-0.62,1309538.43,162603.92,1319631.37,-2350.00,-0.79
SPSAR4,2026-02-01,159841.40,1088.38,100.83,101.13,-3850.90,-0.29,1309538.43,162603.92,1319631.37,-2350.00,-0.47
SPSAR5,2026-02-01,160685.93,1525.38,100.92,101.15,-3006.37,-0.23,1309538.43,162166.92,1319631.37,-2787.00,-0.43
SPSAR6,2026-02-01,168674.95,1088.38,101.63,101.24,4982.65,0.38,1309538.43,162603.92,1319631.37,-2350.00,0.00
SPSAR7,2026-02-01,169418.47,1525.38,100.44,100.00,5726.17,0.44,1309538.43,162166.92,1319631.37,-2787.00,-0.07
SPSAR8,2026-02-01,165306.63,10354.52,99.20,99.08,1614.33,0.12,1309538.43,153337.78,1319631.37,-11616.14,-1.29
SPSAR9,2026-02-01,165276.66,9059.01,99.40,99.28,1584.36,0.12,1309538.43,154633.29,1319631.37,-10320.63,-1.09
NLONG1,2026-02-01,15868.10,-4393.64,101.79,100.17,15868.10,1.62,982153.81,4393.64,989723.52,4393.64,0.00
NLONG10,2026-02-01,9448.24,4654.33,100.88,99.92,9448.24,0.96,982153.81,-4654.33,989723.52,-4654.33,0.00
NLONG11,2026-02-01,15868.10,0.00,104.50,102.84,15868.10,1.62,982153.81,0.00,989723.52,0.00,0.00
NLONG12,2026-02-01,9448.24,4853.96,103.58,102.59,9448.24,0.96,982153.81,-4853.96,989723.52,-4853.96,0.00
NLONG13,2026-02-01,-11462.78,6659.78,98.64,99.80,-11462.78,-1.17,982153.81,-6659.78,989723.52,-6659.78,-2.52
NLONG14,2026-02-01,-8098.10,5987.74,98.99,99.81,-8098.10,-0.82,982153.81,-5987.74,989723.52,-5987.74,-1.95
NLONG15,2026-02-01,-5413.12,7313.38,100.80,101.36,-5413.12,-0.55,982153.81,-7313.38,989723.52,-7313.38,-2.58
NLONG16,2026-02-01,-9088.30,6277.51,101.12,102.06,-9088.30,-0.93,982153.81,-6277.51,989723.52,-6277.51,-1.55
