System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %
QYE++ Zerodha Total Portfolio,2026-01-16,178842744.31,180333424.97,99.17,100.00,-1490680.66,-0.83,180333424.97,0.00,0.00,0.00,-0.83
Zerodha Total Portfolio,2026-01-16,178842744.31,180333424.97,99.17,100.00,-1490680.66,-0.83,180333424.97,0.00,0.00,0.00,-0.83
NPSAR1,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
NPSAR10,2026-01-19,2877702.38,14306.75,100.40,99.73,75627.50,0.67,11208299.50,2787768.13,11270844.56,-29943.01,0.00
NPSAR11,2026-01-19,2839516.45,-26869.44,100.43,100.10,37441.57,0.33,11208299.50,2828944.32,11270844.56,11233.18,0.00
NPSAR12,2026-01-19,2850599.68,-67586.38,100.89,100.46,48524.80,0.43,11208299.50,2869661.25,11270844.56,51950.11,0.00
NPSAR13,2026-01-19,2876659.70,-61157.21,101.07,100.40,74584.82,0.67,11208299.50,2863232.08,11270844.56,45520.94,0.00
NPSAR2,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
NPSAR3,2026-01-19,1280271.62,-8626.45,100.73,100.03,34905.00,0.70,4981466.48,1253993.07,5009264.29,1677.00,0.00
NPSAR4,2026-01-19,1213361.05,67994.20,97.87,98.50,-32005.57,-0.64,4981466.48,1177372.42,5009264.29,-74943.65,-2.13
NPSAR5,2026-01-19,1213361.05,61713.65,98.00,98.63,-32005.57,-0.64,4981466.48,1183652.97,5009264.29,-68663.10,-2.00
NPSAR6,2026-01-19,1222934.64,12575.03,99.16,99.61,-22431.98,-0.45,4981466.48,1232791.59,5009264.29,-19524.48,-0.84
NPSAR7,2026-01-19,1222934.64,-22139.95,99.85,100.30,-22431.98,-0.45,4981466.48,1267506.57,5009264.29,15190.50,-0.45
NPSAR8,2026-01-19,1199920.55,76178.08,97.44,98.34,-45446.07,-0.91,4981466.48,1169188.54,5009264.29,-83127.53,-2.56
NPSAR9,2026-01-19,1199920.55,72575.01,97.51,98.41,-45446.07,-0.91,4981466.48,1172791.61,5009264.29,-79524.46,-2.49
SPSAR1,2026-01-19,1280328.62,2902.55,100.50,99.80,34962.00,0.70,4981466.48,1242464.07,5009264.29,-9852.00,0.00
SPSAR10,2026-01-19,2872313.88,-6601.56,100.55,99.92,70239.00,0.63,11208299.50,2808676.43,11270844.56,-9034.71,0.00
SPSAR11,2026-01-19,2836722.06,-20127.33,100.35,100.04,34647.18,0.31,11208299.50,2822202.20,11270844.56,4491.06,0.00
SPSAR12,2026-01-19,2852540.20,-35750.58,100.63,100.18,50465.32,0.45,11208299.50,2837825.45,11270844.56,20114.31,0.00
SPSAR13,2026-01-19,2875056.44,-57860.00,101.02,100.37,72981.56,0.65,11208299.50,2859934.87,11270844.56,42223.73,0.00
SPSAR2,2026-01-19,1280328.62,2902.55,100.50,99.80,34962.00,0.70,4981466.48,1242464.07,5009264.29,-9852.00,0.00
SPSAR3,2026-01-19,1280328.62,2902.55,100.50,99.80,34962.00,0.70,4981466.48,1242464.07,5009264.29,-9852.00,0.00
SPSAR4,2026-01-19,1220972.76,66970.32,98.04,98.52,-24393.86,-0.49,4981466.48,1178396.30,5009264.29,-73919.77,-1.96
SPSAR5,2026-01-19,1220972.76,61994.40,98.14,98.62,-24393.86,-0.49,4981466.48,1183372.22,5009264.29,-68943.85,-1.86
SPSAR6,2026-01-19,1229519.11,3095.66,99.48,99.80,-15847.51,-0.32,4981466.48,1242270.96,5009264.29,-10045.11,-0.52
SPSAR7,2026-01-19,1218029.38,73856.47,97.85,98.39,-27337.24,-0.55,4981466.48,1171510.15,5009264.29,-80805.92,-2.15
SPSAR8,2026-01-19,1218029.38,75011.02,97.82,98.36,-27337.24,-0.55,4981466.48,1170355.60,5009264.29,-81960.47,-2.18
SPSAR9,2026-01-19,1220972.76,61994.40,98.14,98.62,-24393.86,-0.49,4981466.48,1183372.22,5009264.29,-68943.85,-1.86
NLONG1,2026-01-19,-47058.06,31427.14,97.91,99.16,-47058.06,-1.26,3736099.83,-31427.14,3756948.19,-31427.14,-2.09
