System Tag,Date,Portfolio Value,Cash In/Out,NAV,Prev NAV,PnL,Daily P/L %,Exposure Value,Prev Portfolio Value,Prev Exposure Value,Prev Pnl,Drawdown %,,,,,,,,,,,,
QAW NLONG13,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG14,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG15,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG16,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG17,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG18,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG19,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG2,2025-11-24,-1804.07,0.00,99.83,100.00,-1804.07,-0.17,1040612.06,0.00,0.00,0.00,-0.17,,,,,,,,,,,,
QAW NLONG20,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG21,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG22,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG23,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG24,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG3,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG4,2025-11-24,-1804.07,0.00,99.83,100.00,-1804.07,-0.17,1040612.06,0.00,0.00,0.00,-0.17,,,,,,,,,,,,
QAW NLONG5,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG6,2025-11-24,-1804.07,0.00,99.83,100.00,-1804.07,-0.17,1040612.06,0.00,0.00,0.00,-0.17,,,,,,,,,,,,
QAW NLONG7,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW NLONG8,2025-11-24,-1804.07,0.00,99.83,100.00,-1804.07,-0.17,1040612.06,0.00,0.00,0.00,-0.17,,,,,,,,,,,,
QAW NLONG9,2025-11-24,4722.88,0.00,100.45,100.00,4722.88,0.45,1040612.06,0.00,0.00,0.00,0.00,,,,,,,,,,,,
QAW SLONG1,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG10,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
QAW SLONG11,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG12,2025-11-24,-1267.94,0.00,99.88,100.00,-1267.94,-0.12,1040612.06,0.00,0.00,0.00,-0.12,,,,,,,,,,,,
QAW SLONG13,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG14,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
QAW SLONG15,2025-11-24,-991.54,0.00,99.90,100.00,-991.54,-0.10,1040612.06,0.00,0.00,0.00,-0.10,,,,,,,,,,,,
